2019-01-15-17-58-35  Notice   Starting Nancy on http://localhost:8888
2019-01-15-17-58-47  Notice   Application started
2019-01-15-17-58-47  Notice   Running mailing task
2019-01-15-17-58-47  Notice   Mailing task complete
2019-01-15-17-58-47  Notice   Running billing task
2019-01-15-17-58-47  Notice   Billing task complete
2019-01-15-17-58-59  Notice   User admin id 6bf728c6-a0ec-4d2f-9814-f51e42b00be4 logged in.
2019-01-15-18-03-47  Notice   Running mailing task
2019-01-15-18-03-47  Notice   Mailing task complete
2019-01-15-18-03-47  Notice   Running billing task
2019-01-15-18-03-48  Notice   Billing task complete
2019-01-15-18-08-48  Notice   Running mailing task
2019-01-15-18-08-48  Notice   Mailing task complete
2019-01-15-18-08-48  Notice   Running billing task
2019-01-15-18-08-48  Notice   Billing task complete
2019-01-15-18-13-48  Notice   Running mailing task
2019-01-15-18-13-48  Notice   Mailing task complete
2019-01-15-18-13-48  Notice   Running billing task
2019-01-15-18-13-49  Notice   Billing task complete
