2019-01-20-23-04-19  Notice   Starting Nancy on http://localhost:8888
2019-01-20-23-04-31  Notice   Application started
2019-01-20-23-04-31  Notice   Running mailing task
2019-01-20-23-04-31  Notice   Mailing task complete
2019-01-20-23-04-31  Notice   Running billing task
2019-01-20-23-04-35  Notice   Login Process modified admin: Login with password succeeded
2019-01-20-23-04-36  Notice   Billing task complete
2019-01-20-23-04-36  Notice   Running mailing task
2019-01-20-23-04-36  Notice   Mailing task complete
2019-01-20-23-04-55  Notice   admin modified admin: Logged in with two-factor authentication
2019-01-20-23-09-31  Notice   Running mailing task
2019-01-20-23-09-31  Notice   Mailing task complete
2019-01-20-23-09-31  Notice   Running billing task
2019-01-20-23-09-36  Notice   Billing task complete
2019-01-20-23-09-36  Notice   Running mailing task
2019-01-20-23-09-37  Notice   Mailing task complete
