2019-01-14-21-56-22  Notice   Starting Nancy on http://localhost:8888
2019-01-14-21-56-33  Notice   Application started
2019-01-14-21-56-33  Notice   Running mailing task
2019-01-14-21-56-33  Notice   Mailing task complete
2019-01-14-21-56-33  Notice   Running billing task
2019-01-14-21-56-34  Notice   Billing task complete
2019-01-14-21-56-38  Notice   User admin id 6bf728c6-a0ec-4d2f-9814-f51e42b00be4 logged in.
2019-01-14-21-57-01  Notice   admin added mailing element fasdf
2019-01-14-21-57-08  Notice   admin changed mailing element fasdf
2019-01-14-22-01-34  Notice   Running mailing task
2019-01-14-22-01-34  Notice   Mailing task complete
2019-01-14-22-01-34  Notice   Running billing task
2019-01-14-22-01-34  Notice   Billing task complete
2019-01-14-22-06-34  Notice   Running mailing task
2019-01-14-22-06-34  Notice   Mailing task complete
2019-01-14-22-06-34  Notice   Running billing task
2019-01-14-22-06-35  Notice   Billing task complete
2019-01-14-22-11-35  Notice   Running mailing task
2019-01-14-22-11-35  Notice   Mailing task complete
2019-01-14-22-11-35  Notice   Running billing task
2019-01-14-22-11-35  Notice   Billing task complete
2019-01-14-22-16-35  Notice   Running mailing task
2019-01-14-22-16-35  Notice   Mailing task complete
2019-01-14-22-16-35  Notice   Running billing task
2019-01-14-22-16-35  Notice   Billing task complete
2019-01-14-22-21-36  Notice   Running mailing task
2019-01-14-22-21-36  Notice   Mailing task complete
2019-01-14-22-21-36  Notice   Running billing task
2019-01-14-22-21-36  Notice   Billing task complete
2019-01-14-22-26-36  Notice   Running mailing task
2019-01-14-22-26-36  Notice   Mailing task complete
2019-01-14-22-26-36  Notice   Running billing task
2019-01-14-22-26-36  Notice   Billing task complete
2019-01-14-22-31-37  Notice   Running mailing task
2019-01-14-22-31-37  Notice   Mailing task complete
2019-01-14-22-31-37  Notice   Running billing task
2019-01-14-22-31-37  Notice   Billing task complete
2019-01-14-22-36-37  Notice   Running mailing task
2019-01-14-22-36-37  Notice   Mailing task complete
2019-01-14-22-36-37  Notice   Running billing task
2019-01-14-22-36-37  Notice   Billing task complete
2019-01-14-22-41-38  Notice   Running mailing task
2019-01-14-22-41-38  Notice   Mailing task complete
2019-01-14-22-41-38  Notice   Running billing task
2019-01-14-22-41-38  Notice   Billing task complete
2019-01-14-22-46-38  Notice   Running mailing task
2019-01-14-22-46-38  Notice   Mailing task complete
2019-01-14-22-46-38  Notice   Running billing task
2019-01-14-22-46-38  Notice   Billing task complete
2019-01-14-22-51-39  Notice   Running mailing task
2019-01-14-22-51-39  Notice   Mailing task complete
2019-01-14-22-51-39  Notice   Running billing task
2019-01-14-22-51-39  Notice   Billing task complete
2019-01-14-22-56-39  Notice   Running mailing task
2019-01-14-22-56-39  Notice   Mailing task complete
2019-01-14-22-56-39  Notice   Running billing task
2019-01-14-22-56-39  Notice   Billing task complete
2019-01-14-23-01-39  Notice   Running mailing task
2019-01-14-23-01-39  Notice   Mailing task complete
2019-01-14-23-01-39  Notice   Running billing task
2019-01-14-23-01-40  Notice   Billing task complete
2019-01-14-23-06-40  Notice   Running mailing task
2019-01-14-23-06-40  Notice   Mailing task complete
2019-01-14-23-06-40  Notice   Running billing task
2019-01-14-23-06-40  Notice   Billing task complete
2019-01-14-23-11-41  Notice   Running mailing task
2019-01-14-23-11-41  Notice   Mailing task complete
2019-01-14-23-11-41  Notice   Running billing task
2019-01-14-23-11-41  Notice   Billing task complete
2019-01-14-23-16-41  Notice   Running mailing task
2019-01-14-23-16-41  Notice   Mailing task complete
2019-01-14-23-16-41  Notice   Running billing task
2019-01-14-23-16-41  Notice   Billing task complete
2019-01-14-23-21-41  Notice   Running mailing task
2019-01-14-23-21-41  Notice   Mailing task complete
2019-01-14-23-21-41  Notice   Running billing task
2019-01-14-23-21-42  Notice   Billing task complete
2019-01-14-23-26-42  Notice   Running mailing task
2019-01-14-23-26-42  Notice   Mailing task complete
2019-01-14-23-26-42  Notice   Running billing task
2019-01-14-23-26-42  Notice   Billing task complete
2019-01-14-23-31-43  Notice   Running mailing task
2019-01-14-23-31-43  Notice   Mailing task complete
2019-01-14-23-31-43  Notice   Running billing task
2019-01-14-23-31-43  Notice   Billing task complete
2019-01-14-23-36-43  Notice   Running mailing task
2019-01-14-23-36-43  Notice   Mailing task complete
2019-01-14-23-36-43  Notice   Running billing task
2019-01-14-23-36-43  Notice   Billing task complete
2019-01-14-23-41-43  Notice   Running mailing task
2019-01-14-23-41-43  Notice   Mailing task complete
2019-01-14-23-41-43  Notice   Running billing task
2019-01-14-23-41-44  Notice   Billing task complete
2019-01-14-23-46-44  Notice   Running mailing task
2019-01-14-23-46-44  Notice   Mailing task complete
2019-01-14-23-46-44  Notice   Running billing task
2019-01-14-23-46-44  Notice   Billing task complete
2019-01-14-23-51-44  Notice   Running mailing task
2019-01-14-23-51-44  Notice   Mailing task complete
2019-01-14-23-51-44  Notice   Running billing task
2019-01-14-23-51-45  Notice   Billing task complete
2019-01-14-23-56-45  Notice   Running mailing task
2019-01-14-23-56-45  Notice   Mailing task complete
2019-01-14-23-56-45  Notice   Running billing task
2019-01-14-23-56-45  Notice   Billing task complete
2019-01-15-00-01-45  Notice   Running mailing task
2019-01-15-00-01-45  Notice   Mailing task complete
2019-01-15-00-01-45  Notice   Running billing task
2019-01-15-00-01-46  Notice   Billing task complete
2019-01-15-00-06-46  Notice   Running mailing task
2019-01-15-00-06-46  Notice   Mailing task complete
2019-01-15-00-06-46  Notice   Running billing task
2019-01-15-00-06-46  Notice   Billing task complete
2019-01-15-00-11-46  Notice   Running mailing task
2019-01-15-00-11-46  Notice   Mailing task complete
2019-01-15-00-11-46  Notice   Running billing task
2019-01-15-00-11-47  Notice   Billing task complete
2019-01-15-00-16-47  Notice   Running mailing task
2019-01-15-00-16-47  Notice   Mailing task complete
2019-01-15-00-16-47  Notice   Running billing task
2019-01-15-00-16-47  Notice   Billing task complete
2019-01-15-00-21-47  Notice   Running mailing task
2019-01-15-00-21-47  Notice   Mailing task complete
2019-01-15-00-21-47  Notice   Running billing task
2019-01-15-00-21-48  Notice   Billing task complete
2019-01-15-00-26-48  Notice   Running mailing task
2019-01-15-00-26-48  Notice   Mailing task complete
2019-01-15-00-26-48  Notice   Running billing task
2019-01-15-00-26-48  Notice   Billing task complete
2019-01-15-00-31-48  Notice   Running mailing task
2019-01-15-00-31-48  Notice   Mailing task complete
2019-01-15-00-31-48  Notice   Running billing task
2019-01-15-00-31-49  Notice   Billing task complete
2019-01-15-00-36-49  Notice   Running mailing task
2019-01-15-00-36-49  Notice   Mailing task complete
2019-01-15-00-36-49  Notice   Running billing task
2019-01-15-00-36-49  Notice   Billing task complete
2019-01-15-00-41-49  Notice   Running mailing task
2019-01-15-00-41-49  Notice   Mailing task complete
2019-01-15-00-41-49  Notice   Running billing task
2019-01-15-00-41-50  Notice   Billing task complete
2019-01-15-00-46-50  Notice   Running mailing task
