2019-01-20-22-31-27  Notice   Starting Nancy on http://localhost:8888
2019-01-20-22-31-38  Notice   Application started
2019-01-20-22-31-38  Notice   Running mailing task
2019-01-20-22-31-38  Notice   Mailing task complete
2019-01-20-22-31-38  Notice   Running billing task
2019-01-20-22-31-43  Notice   Billing task complete
2019-01-20-22-31-43  Notice   Running mailing task
2019-01-20-22-31-44  Notice   Mailing task complete
2019-01-20-22-36-39  Notice   Running mailing task
2019-01-20-22-36-39  Notice   Mailing task complete
2019-01-20-22-36-39  Notice   Running billing task
2019-01-20-22-36-44  Notice   Billing task complete
2019-01-20-22-36-44  Notice   Running mailing task
2019-01-20-22-36-45  Notice   Mailing task complete
2019-01-20-22-41-40  Notice   Running mailing task
2019-01-20-22-41-40  Notice   Mailing task complete
2019-01-20-22-41-40  Notice   Running billing task
2019-01-20-22-41-45  Notice   Billing task complete
2019-01-20-22-41-45  Notice   Running mailing task
2019-01-20-22-41-45  Notice   Mailing task complete
2019-01-20-22-46-40  Notice   Running mailing task
2019-01-20-22-46-40  Notice   Mailing task complete
2019-01-20-22-46-40  Notice   Running billing task
2019-01-20-22-46-45  Notice   Billing task complete
2019-01-20-22-46-45  Notice   Running mailing task
2019-01-20-22-46-46  Notice   Mailing task complete
2019-01-20-22-51-41  Notice   Running mailing task
2019-01-20-22-51-41  Notice   Mailing task complete
2019-01-20-22-51-41  Notice   Running billing task
2019-01-20-22-51-46  Notice   Billing task complete
2019-01-20-22-51-46  Notice   Running mailing task
2019-01-20-22-51-47  Notice   Mailing task complete
2019-01-20-22-56-29  Notice   Login Process modified admin: Login with password succeeded
2019-01-20-22-56-42  Notice   Running mailing task
2019-01-20-22-56-42  Notice   Mailing task complete
2019-01-20-22-56-42  Notice   Running billing task
2019-01-20-22-56-47  Notice   Billing task complete
2019-01-20-22-56-47  Notice   Running mailing task
2019-01-20-22-56-47  Notice   Mailing task complete
2019-01-20-22-56-56  Notice   admin modified admin: Logged in with two-factor authentication
