2019-01-07-19-19-04  Notice   Starting Nancy on http://localhost:8888
2019-01-07-19-19-15  Notice   Application started
2019-01-07-19-19-15  Notice   Running mailing task
2019-01-07-19-19-15  Notice   Mailing task complete
2019-01-07-19-24-15  Notice   Running mailing task
2019-01-07-19-24-15  Notice   Mailing task complete
2019-01-07-19-29-15  Notice   Running mailing task
2019-01-07-19-29-15  Notice   Mailing task complete
2019-01-07-19-34-15  Notice   Running mailing task
2019-01-07-19-34-15  Notice   Mailing task complete
2019-01-07-19-39-15  Notice   Running mailing task
2019-01-07-19-39-15  Notice   Mailing task complete
2019-01-07-19-44-15  Notice   Running mailing task
2019-01-07-19-44-15  Notice   Mailing task complete
2019-01-07-19-49-15  Notice   Running mailing task
2019-01-07-19-49-15  Notice   Mailing task complete
2019-01-07-19-54-15  Notice   Running mailing task
2019-01-07-19-54-15  Notice   Mailing task complete
2019-01-07-19-59-15  Notice   Running mailing task
2019-01-07-19-59-15  Notice   Mailing task complete
2019-01-07-20-04-15  Notice   Running mailing task
2019-01-07-20-04-15  Notice   Mailing task complete
2019-01-07-20-09-15  Notice   Running mailing task
2019-01-07-20-09-15  Notice   Mailing task complete
2019-01-07-20-14-15  Notice   Running mailing task
2019-01-07-20-14-15  Notice   Mailing task complete
2019-01-07-20-19-15  Notice   Running mailing task
2019-01-07-20-19-15  Notice   Mailing task complete
2019-01-07-20-24-15  Notice   Running mailing task
2019-01-07-20-24-15  Notice   Mailing task complete
2019-01-07-20-29-15  Notice   Running mailing task
2019-01-07-20-29-15  Notice   Mailing task complete
2019-01-07-20-34-16  Notice   Running mailing task
2019-01-07-20-34-16  Notice   Mailing task complete
2019-01-07-20-39-16  Notice   Running mailing task
2019-01-07-20-39-16  Notice   Mailing task complete
2019-01-07-20-44-16  Notice   Running mailing task
2019-01-07-20-44-16  Notice   Mailing task complete
2019-01-07-20-49-16  Notice   Running mailing task
2019-01-07-20-49-16  Notice   Mailing task complete
2019-01-07-20-54-16  Notice   Running mailing task
2019-01-07-20-54-16  Notice   Mailing task complete
2019-01-07-20-59-16  Notice   Running mailing task
2019-01-07-20-59-16  Notice   Mailing task complete
2019-01-07-21-04-16  Notice   Running mailing task
2019-01-07-21-04-16  Notice   Mailing task complete
2019-01-07-21-09-16  Notice   Running mailing task
2019-01-07-21-09-16  Notice   Mailing task complete
2019-01-07-21-14-16  Notice   Running mailing task
2019-01-07-21-14-16  Notice   Mailing task complete
2019-01-07-21-19-16  Notice   Running mailing task
2019-01-07-21-19-16  Notice   Mailing task complete
2019-01-07-21-24-16  Notice   Running mailing task
2019-01-07-21-24-16  Notice   Mailing task complete
2019-01-07-21-29-16  Notice   Running mailing task
2019-01-07-21-29-16  Notice   Mailing task complete
2019-01-07-21-34-16  Notice   Running mailing task
2019-01-07-21-34-16  Notice   Mailing task complete
2019-01-07-21-39-16  Notice   Running mailing task
2019-01-07-21-39-16  Notice   Mailing task complete
2019-01-07-21-44-16  Notice   Running mailing task
2019-01-07-21-44-16  Notice   Mailing task complete
2019-01-07-21-49-16  Notice   Running mailing task
